symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
LOW,2015-02-09,2015-04-30,Long,166.0,59.208093827883,58.065949094832,-189.59602568646562,-1.93%,80,0
LOW,2015-11-23,2016-01-08,Long,152.0,63.104625474891,59.887366988697,-489.0232899014877,-5.10%,46,0
BA,2015-02-23,2015-03-26,Long,71.0,139.456819308807,130.316355628569,-648.972921296899,-6.55%,31,0
ABT,2015-02-23,2015-05-01,Long,255.0,38.745157382932,37.997890046028,-190.5531709105206,-1.93%,67,0
MA,2015-02-23,2015-03-12,Long,116.0,85.262612266832,81.511990591824,-435.072114300927,-4.40%,17,0
MA,2015-10-26,2015-11-16,Long,99.0,94.206420552244,91.257665681304,-291.92673222305933,-3.13%,21,0
LMT,2015-02-23,2015-04-20,Long,65.0,151.725772526328,145.682279959932,-392.82701681573985,-3.98%,56,0
LMT,2015-08-17,2015-08-24,Long,62.0,160.07133176034,154.26466713378,-360.01320684672044,-3.63%,7,0
LMT,2015-10-26,2015-12-04,Long,56.0,166.847863438256,164.788034204808,-115.35043707308796,-1.23%,39,0
RTX,2015-02-23,2015-03-11,Long,193.0,51.2024808425964,48.3374499939662,-552.9509537856283,-5.60%,16,0
ADBE,2015-02-23,2015-03-11,Long,125.0,78.62855,75.93399,-336.82000000000124,-3.43%,16,0
ADBE,2015-08-17,2015-08-24,Long,116.0,86.20612,78.79113,-860.1388400000003,-8.60%,7,0
AVGO,2015-02-23,2015-04-20,Long,1152.0,8.5922665022194,9.351779731128,874.9592397027059,8.84%,56,0
AVGO,2015-06-01,2015-06-30,Long,830.0,11.3868710139184,10.1601638872785,-1018.1669151111167,-10.77%,29,0
HON,2015-02-23,2015-06-30,Long,131.0,75.303581636933,73.3670355646411,-253.68753547023942,-2.57%,127,0
MMM,2015-02-23,2015-03-09,Long,119.0,82.934932238565,80.918096163103,-240.00349297997747,-2.43%,14,0
NKE,2015-03-23,2015-08-21,Long,223.0,44.581267826095,49.128401785635,1014.0108729774196,10.20%,151,0
LLY,2015-03-23,2015-04-02,Long,157.0,62.958773801924,59.035928480496,-615.886715464197,-6.23%,10,0
LLY,2015-06-01,2015-08-07,Long,143.0,65.70941017641,68.73651131337,432.8754625852798,4.61%,67,0
TMO,2015-03-23,2015-04-23,Long,75.0,132.439443240104,126.447865727832,-449.36831342040017,-4.52%,31,0
META,2015-03-23,2015-05-01,Long,119.0,83.30191485616,78.145364675736,-613.629471470455,-6.19%,39,0
META,2015-07-20,2015-08-21,Long,106.0,94.405523316104,89.841871588608,-483.7470831145754,-4.83%,32,0
META,2015-10-26,2016-01-08,Long,92.0,101.582609536408,97.143507795456,-408.39736016758377,-4.37%,74,0
GE,2015-04-13,2015-04-22,Long,79.0,122.608314196127,114.251567113244,-660.1830195477573,-6.82%,9,0
GE,2015-11-09,2016-01-08,Long,73.0,130.927877013091,127.463765097794,-252.88016981668176,-2.65%,60,0
NFLX,2015-04-20,2015-08-24,Long,1157.0,8.173156826835,10.385604,2559.8013793519067,27.07%,126,0
AMZN,2015-04-27,2015-08-25,Long,427.0,22.22499255977,23.091032552301,369.7990768107371,3.90%,120,0
AMZN,2015-10-26,2016-01-05,Long,314.0,29.911115014781,31.743006291927,575.2138610238437,6.12%,71,0
SBUX,2015-04-27,2015-05-07,Long,227.0,41.771592390528,39.473189526771,-521.7374500728384,-5.50%,10,0
SBUX,2015-06-01,2015-08-11,Long,224.0,42.001493722188,45.519731189514,788.085192681023,8.38%,71,0
SBUX,2015-10-26,2015-11-16,Long,185.0,50.749885484298,48.483270435762,-419.3237839791593,-4.47%,21,0
JPM,2015-05-11,2015-07-09,Long,190.0,49.116900216384,49.293945309402,33.638567673419004,0.36%,59,0
WFC,2015-05-11,2015-07-09,Long,223.0,41.74468537239,41.06664919305,-151.20206799282104,-1.62%,59,0
GS,2015-05-18,2015-06-30,Long,57.0,163.935352707126,168.072063959736,235.79254139877074,2.52%,43,0
CMCSA,2015-07-06,2015-07-28,Long,444.0,21.7202334068478,21.2491412986913,-209.16489602148653,-2.17%,22,0
GOOGL,2015-07-20,2015-07-27,Long,288.0,34.753396158481,32.4605009945115,-660.3538072232172,-6.60%,7,0
GOOGL,2015-10-26,2016-01-08,Long,263.0,35.7324840037165,36.73538988795,263.76424755341026,2.81%,74,0
V,2015-07-20,2015-08-24,Long,152.0,65.780249478944,66.090356558928,47.136276157566954,0.47%,35,0
C,2015-07-20,2015-08-13,Long,228.0,43.85156776,42.429307563657,-324.27532476620485,-3.24%,24,0
AMGN,2015-08-03,2015-08-21,Long,77.0,130.045960573529,118.98933826329,-851.3599178884024,-8.50%,18,0
MSFT,2015-10-26,2016-01-08,Long,204.0,46.029576213621,45.634929608781,-80.50790738735967,-0.86%,74,0
MCD,2015-10-26,2016-01-08,Long,107.0,87.660119583036,90.575081027226,311.90087452832984,3.33%,74,0
HD,2015-10-26,2015-11-16,Long,96.0,97.86627606756,94.05736848,-365.65512840576,-3.89%,21,0
HD,2015-11-23,2016-01-08,Long,94.0,102.26440740516,98.7250287474,-332.70159382943973,-3.46%,46,0
COST,2015-12-07,2015-12-10,Long,68.0,140.49317866584,134.261008332264,-423.78758268316756,-4.44%,3,0
