Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,190.0,80001.4,84433.21013722803,69034.32874983655,4431.810137228036,73466.13888706459,Open (190 sh)
META,0,0,0,55363.879162072,0,55363.879162072,Closed
NVDA,0,0,0,53308.67030107421,0,53308.67030107421,Closed
CRM,231.0,73803.873600765,77892.36149210899,22069.994693200002,4088.4878913439898,26158.482584543992,Open (231 sh)
GOOGL,0,0,0,16136.885902348007,0,16136.885902348007,Closed
GS,0,0,0,14126.838392234014,0,14126.838392234014,Closed
AVGO,366.0,79871.454982182,84296.06659979353,8771.284670448902,4424.611617611532,13195.896288060434,Open (366 sh)
AAPL,0,0,0,12759.950450750239,0,12759.950450750239,Closed
MSFT,0,0,0,11899.854144259993,0,11899.854144259993,Closed
CAT,0,0,0,9574.28970535002,0,9574.28970535002,Closed
NFLX,993.0,69218.058,73052.50703618735,3999.9950000000044,3834.449036187347,7834.444036187351,Open (993 sh)
AMZN,355.0,79846.59999999999,84269.83473468204,447.65537274701364,4423.234734682046,4870.89010742906,Open (355 sh)
AMD,0,0,0,-1805.8599999999979,0,-1805.8599999999979,Closed
TOTAL,,,,275687.76654432097,21202.59341705295,296890.3599613739,
