Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,0,0,0,31102.37733368439,0,31102.37733368439,Closed
NVDA,0,0,0,29459.79492487218,0,29459.79492487218,Closed
AVGO,110.0,26354.3535255,25967.006784950652,18693.426533151905,-387.3467405493466,18306.07979260256,Open (110 sh)
AMZN,0,0,0,10071.682463342984,0,10071.682463342984,Closed
LLY,0,0,0,9342.202168109003,0,9342.202168109003,Closed
GS,47.0,26538.850799999997,26148.792385349116,9226.121435502997,-390.0584146508809,8836.063020852116,Open (47 sh)
NFLX,0,0,0,5755.846999999998,0,5755.846999999998,Closed
DIS,0,0,0,4608.049047725983,0,4608.049047725983,Closed
AAPL,0,0,0,4603.919705308501,0,4603.919705308501,Closed
GE,157.0,26551.257954528,26161.017184014687,4825.143195062863,-390.2407705133119,4434.902424549551,Open (157 sh)
UNH,53.0,26379.822094444,25992.101026094984,4314.096341289,-387.7210683490157,3926.375272939984,Open (53 sh)
ABBV,154.0,26487.389999224,26098.087936779877,4206.217656831993,-389.3020624441233,3816.9155943878695,Open (154 sh)
GOOGL,0,0,0,3151.414274424993,0,3151.414274424993,Closed
PG,0,0,0,2649.012372195997,0,2649.012372195997,Closed
META,0,0,0,2286.1072016900043,0,2286.1072016900043,Closed
HD,0,0,0,1293.211386392993,0,1293.211386392993,Closed
HON,0,0,0,1162.2949532415591,0,1162.2949532415591,Closed
UPS,225.0,26549.887540725,26159.6669120573,1283.043293996004,-390.22062866770284,892.8226653283011,Open (225 sh)
JPM,112.0,26332.320092399998,25945.297191268157,969.1143111779908,-387.0229011318406,582.0914100461501,Open (112 sh)
JNJ,0,0,0,369.7528349039983,0,369.7528349039983,Closed
AMD,212.0,26540.28,26150.200579485285,428.8700000000123,-390.079420514714,38.79057948529828,Open (212 sh)
BLK,0,0,0,-263.29453513698957,0,-263.29453513698957,Closed
MSFT,0,0,0,-1588.2988987119977,0,-1588.2988987119977,Closed
NKE,0,0,0,-4544.3179414019905,0,-4544.3179414019905,Closed
CRM,0,0,0,-5765.47236271299,0,-5765.47236271299,Closed
V,0,0,0,-6304.805059916989,0,-6304.805059916989,Closed
CAT,0,0,0,-6768.774553014015,0,-6768.774553014015,Closed
COST,0,0,0,-8339.684940864994,0,-8339.684940864994,Closed
TOTAL,,,,116227.05014114543,-3111.992006820936,113115.0581343245,
