Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
TSLA,0,0,0,31102.377333685057,0,31102.377333685057,Closed
NVDA,0,0,0,29459.794924872695,0,29459.794924872695,Closed
AVGO,110.0,7660.9269923481625,25967.006784950652,0,18306.07979260249,18306.07979260249,Open (110 sh)
AMZN,0,0,0,10071.682463343022,0,10071.682463343022,Closed
LLY,0,0,0,9342.202168109128,0,9342.202168109128,Closed
GS,47.0,17312.729364497238,26148.792385349116,0,8836.063020851878,8836.063020851878,Open (47 sh)
NFLX,0,0,0,5755.8470000003,0,5755.8470000003,Closed
DIS,0,0,0,4608.049047725974,0,4608.049047725974,Closed
AAPL,0,0,0,4603.919705308508,0,4603.919705308508,Closed
GE,157.0,21726.11475946498,26161.017184014687,0,4434.902424549706,4434.902424549706,Open (157 sh)
UNH,53.0,22065.725753154955,25992.101026094984,0,3926.3752729400294,3926.3752729400294,Open (53 sh)
ABBV,154.0,22281.172342392383,26098.087936779877,0,3816.915594387494,3816.915594387494,Open (154 sh)
GOOGL,0,0,0,3151.4142744251294,0,3151.4142744251294,Closed
PG,0,0,0,2649.012372195837,0,2649.012372195837,Closed
META,0,0,0,2286.107201690087,0,2286.107201690087,Closed
HD,0,0,0,1293.21138639329,0,1293.21138639329,Closed
HON,0,0,0,1162.294953241595,0,1162.294953241595,Closed
UPS,225.0,25266.844246729277,26159.6669120573,0,892.8226653280217,892.8226653280217,Open (225 sh)
JPM,112.0,25363.205781221972,25945.297191268157,0,582.091410046185,582.091410046185,Open (112 sh)
JNJ,0,0,0,369.7528349038912,0,369.7528349038912,Closed
AMD,212.0,26111.4099999998,26150.200579485285,0,38.79057948548507,38.79057948548507,Open (212 sh)
BLK,0,0,0,-263.29453513678163,0,-263.29453513678163,Closed
MSFT,0,0,0,-1588.2988987119752,0,-1588.2988987119752,Closed
NKE,0,0,0,-4544.3179414016195,0,-4544.3179414016195,Closed
CRM,0,0,0,-5765.472362712841,0,-5765.472362712841,Closed
V,0,0,0,-6304.805059917038,0,-6304.805059917038,Closed
CAT,0,0,0,-6768.774553014198,0,-6768.774553014198,Closed
COST,0,0,0,-8339.684940865263,0,-8339.684940865263,Closed
TOTAL,,,,72281.0173741348,40834.04076019129,113115.05813432609,
