symbol,entry_date,exit_date,direction,shares,entry_price,exit_price,pnl_dollars,pnl_pct,bars_held,fees
SPY,2015-06-09,2015-06-19,Long,545.0,174.025239996608,177.259719731112,1762.7914553046758,1.86%,10,0
SPY,2015-06-30,2015-07-14,Long,560.0,172.313156083068,175.610508762942,1846.5175007294374,1.91%,14,0
SPY,2015-07-27,2015-09-17,Long,563.0,174.4773462432,167.582169252828,-3881.9846455794323,-3.95%,52,0
SPY,2016-05-05,2016-05-25,Long,541.0,174.758651235168,176.885730153054,1150.7496945763237,1.22%,20,0
SPY,2016-06-14,2016-06-24,Long,538.0,177.708811916636,180.373530582333,1433.6186421449834,1.50%,10,0
SPY,2016-06-27,2016-07-05,Long,557.0,174.100759565733,179.449722487161,2979.3723472354022,3.07%,8,0
SPY,2016-09-12,2016-09-23,Long,546.0,182.834510070212,186.716337011748,2119.4775100786665,2.12%,11,0
SPY,2016-11-03,2016-11-10,Long,563.0,180.680940676236,186.080136213384,3039.7470874143337,2.99%,7,0
SPY,2017-03-22,2017-04-25,Long,514.0,203.421940911189,206.003452518819,1326.8969663218083,1.27%,34,0
SPY,2017-05-18,2017-05-25,Long,516.0,205.240928018126,208.991401570827,1935.244353193721,1.83%,7,0
SPY,2017-06-28,2017-07-13,Long,510.0,211.058092950705,212.975542154115,977.8990937391006,0.91%,15,0
SPY,2017-08-11,2017-09-01,Long,510.0,213.18327906876,216.012937698135,1443.1259009812593,1.33%,21,0
SPY,2018-02-05,2018-02-26,Long,452.0,243.334520043615,242.195921976663,-514.6463262623038,-0.47%,21,0
SPY,2018-03-23,2018-04-13,Long,468.0,233.86344304323,235.39669684083,717.5627772767986,0.66%,21,0
SPY,2018-06-28,2018-07-09,Long,459.0,239.97756043261,244.895349961548,2257.265393782536,2.05%,11,0
SPY,2018-10-11,2018-11-07,Long,451.0,249.07997810696,245.741885470656,-1505.4797789731028,-1.34%,27,0
SPY,2019-05-14,2019-06-07,Long,437.0,253.953301818216,257.00132829312,1331.9875695330568,1.20%,24,0
SPY,2019-10-02,2019-10-16,Long,419.0,267.666621238016,272.269673975808,1928.679097134865,1.72%,14,0
SPY,2020-01-28,2020-02-06,Long,384.0,296.7394205776,304.715102053824,3062.661686870015,2.69%,9,0
SPY,2020-02-25,2020-03-31,Long,395.0,295.748760379072,240.93429339114,-21651.714460233143,-18.53%,35,0
SPY,2020-06-12,2020-07-07,Long,347.0,277.363873310524,293.233043794635,5506.60215798652,5.72%,25,0
SPY,2020-09-09,2020-10-02,Long,329.0,308.796071597013,312.969408085224,1373.027704621426,1.35%,23,0
SPY,2020-10-29,2020-11-06,Long,338.0,303.937991611254,325.226695608144,7195.581950948813,7.00%,8,0
SPY,2021-02-23,2021-03-12,Long,303.0,361.643763403923,366.982712510427,1617.701579270713,1.48%,17,0
SPY,2021-03-25,2021-03-29,Long,306.0,363.28741761312,370.47669783462,2199.9197477789953,1.98%,4,0
SPY,2021-05-13,2021-05-25,Long,298.0,380.05871174271,392.17313357073,3610.09770474996,3.19%,12,0
SPY,2021-06-21,2021-06-25,Long,299.0,390.246448023432,399.02224279554,2623.962636860305,2.25%,4,0
SPY,2021-08-19,2021-08-24,Long,288.0,413.063807584428,419.822837715204,1946.6006776634913,1.64%,5,0
SPY,2021-09-13,2021-10-15,Long,289.0,418.951551642624,416.6856097875,-654.8571961308272,-0.54%,32,0
SPY,2021-11-29,2021-12-08,Long,278.0,433.06004426685,440.9616663306,2196.650933722495,1.82%,9,0
SPY,2022-01-10,2022-02-03,Long,277.0,441.323570262575,432.182753256375,-2532.0063107173987,-2.07%,24,0
SPY,2023-02-22,2023-03-22,Long,312.0,384.014920047759,384.537019671387,162.89508257192983,0.14%,28,0
SPY,2023-04-26,2023-05-01,Long,306.0,392.232361064544,400.943778275601,2665.6936665834364,2.22%,5,0
SPY,2023-08-03,2023-08-30,Long,281.0,436.395597159522,434.585153530296,-508.7346598125141,-0.41%,27,0
SPY,2023-09-21,2023-10-10,Long,286.0,426.756380954904,419.738098412331,-2007.2288071758753,-1.64%,19,0
SPY,2023-10-23,2023-11-03,Long,294.0,409.779135724959,418.252523241564,2491.175929881866,2.07%,11,0
SPY,2024-01-04,2024-01-11,Long,268.0,457.938813282951,464.598831568536,1784.8849005367829,1.45%,7,0
SPY,2024-04-05,2024-04-30,Long,247.0,502.750986754016,498.802920305472,-975.1724127903708,-0.79%,25,0
SPY,2024-07-22,2024-08-16,Long,229.0,539.684052338431,542.608588642617,669.7188136585823,0.54%,25,0
SPY,2024-09-09,2024-09-16,Long,233.0,531.200339754084,551.379487050531,4701.741320072154,3.80%,7,0
SPY,2024-11-01,2024-11-07,Long,229.0,560.715136357376,581.638516798464,4791.454121009165,3.73%,6,0
